Date,Close/Last,Volume,Open,High,Low
12/14/2018,$107.66,2241619,$108.00,$109.98,$107.37
12/13/2018,$108.85,2066551,$110.57,$110.975,$108.24
12/12/2018,$110.07,2615777,$110.19,$111.895,$109.9701
12/11/2018,$110.03,2613804,$112.33,$112.94,$109.79
12/10/2018,$110.81,1773460,$111.44,$112.35,$109.20
12/07/2018,$111.25,2637020,$114.85,$116.25,$110.69
12/06/2018,$115.32,2910950,$111.68,$115.50,$111.11
12/04/2018,$113.50,3097300,$119.00,$119.23,$112.92
12/03/2018,$119.53,3620090,$116.00,$120.09,$115.69
11/30/2018,$115.03,9546649,$113.60,$116.72,$113.38
11/29/2018,$121.84,1174537,$121.37,$122.83,$120.55
